id,nw_lat,nw_lon,se_lat,se_lon
668,36.774355727881606,-119.7674299674103,36.77422141328321,-119.76721549602328
362,36.774339987889604,-119.76738640290979,36.7742056732912,-119.7671719315228
1684,36.774314803902406,-119.76735289175556,36.774180489304,-119.76713842036858
439,36.774482697150404,-119.76730765169738,36.774348382552,-119.76709318031038
3393,36.774381961201605,-119.76707642473326,36.77424764660321,-119.76686195334626
2168,36.774411342520004,-119.76617329912706,36.774277027921606,-119.76595882774006
110,36.7744291811776,-119.76616827245392,36.774294866579204,-119.76595380106693
44,36.7744134411856,-119.76613643685742,36.7742791265872,-119.76592196547043
881,36.7740356813776,-119.76968359253152,36.77390136677921,-119.76946912114452
212,36.774051421369606,-119.76966013472358,36.7739171067712,-119.76944566333657
654,36.7741584533152,-119.76822920843841,36.774024138716804,-119.76801473705142
772,36.774185735968004,-119.76834482192046,36.774051421369606,-119.76813035053345
971,36.7741626506464,-119.76829623074686,36.774028336048005,-119.76808175935984
2296,36.774130121329605,-119.76832136411251,36.7739958067312,-119.76810689272551
2012,36.77428857058241,-119.76842357313288,36.77415425598401,-119.76820910174588
2653,36.7741616013136,-119.76662737526672,36.7740272867152,-119.76641290387974
3365,36.7741616013136,-119.7667429887488,36.7740272867152,-119.76652851736179
1102,36.77419517996321,-119.76667931755577,36.7740608653648,-119.76646484616877
523,36.774185735968004,-119.76668099311348,36.774051421369606,-119.76646652172649
699,36.774268633259204,-119.7662554014549,36.774134318660806,-119.7660409300679
3240,36.77384260414241,-119.7695411701261,36.773708289544004,-119.76932669873909
2392,36.773788038836805,-119.76952441454898,36.77365372423841,-119.76930994316199
108,36.773786989504,-119.76953279233754,36.773652674905605,-119.76931832095053
766,36.7737733481776,-119.76957803239573,36.7736390335792,-119.76936356100873
2886,36.7735676789488,-119.769449014452,36.773433364350396,-119.76923454306498
325,36.7732665204352,-119.76914238739087,36.7731322058368,-119.76892791600389
3159,36.7732633724368,-119.7691289829292,36.7731290578384,-119.76891451154219
2848,36.77324763244481,-119.76894467158098,36.7731133178464,-119.768730200194
1903,36.7732602244384,-119.7689915871969,36.773125909840005,-119.76877711580991
3427,36.7734700909984,-119.76705799359844,36.7733357764,-119.76684352221145
3505,36.7735005216496,-119.76707977584869,36.773366207051204,-119.76686530446169
1500,36.77324763244481,-119.76615989466538,36.7731133178464,-119.76594542327837
176,36.77323608978401,-119.76611130349175,36.7731017751856,-119.76589683210476
2421,36.7732927537552,-119.7660878456838,36.7731584391568,-119.7658733742968
2849,36.7731857218096,-119.76941885441319,36.7730514072112,-119.76920438302619
1553,36.7731395511664,-119.76938869437438,36.773005236568,-119.7691742229874
104,36.773036716552,-119.76883743588749,36.7729024019536,-119.76862296450048
120,36.773052456544,-119.76883576032978,36.772918141945595,-119.76862128894277
3349,36.7730398645504,-119.76886759592628,36.772905549952,-119.76865312453928
3418,36.773024124558404,-119.7688709470417,36.772889809960006,-119.7686564756547
1656,36.7743609745456,-119.76709318031038,36.7742266599472,-119.76687870892337
1638,36.77439035586401,-119.76574938302619,36.7742560412656,-119.7655349116392
896,36.774411342520004,-119.76564884956353,36.774277027921606,-119.76543437817654
317,36.7742287586128,-119.76623697032008,36.7740944440144,-119.76602249893308
742,36.77353305096641,-119.76943225887487,36.773398736368,-119.76921778748789
91,36.7730744925328,-119.76981931270612,36.7729401779344,-119.76960484131911
103,36.773036716552,-119.76981261047527,36.7729024019536,-119.76959813908826
1820,36.7732297937872,-119.76896310271582,36.773095479188804,-119.7687486313288
2665,36.77302937122241,-119.76716020261881,36.772895056624,-119.76694573123181
2191,36.774986376894404,-119.76432683452958,36.774852062296006,-119.76411236314257
3318,36.774956995576005,-119.76424808331717,36.7748226809776,-119.76403361193017
32,36.774783855664005,-119.76424640775946,36.77464954106561,-119.76403193637246
1472,36.7743725172064,-119.76453460368575,36.774238202608004,-119.76432013229874
2839,36.7743872078656,-119.76455638593598,36.7742528932672,-119.76434191454898
650,36.774403997190404,-119.76453125257032,36.774269682592,-119.76431678118331
3132,36.7744260331792,-119.7645262258972,36.7742917185808,-119.76431175451017
2303,36.7743714678736,-119.76443071910766,36.7742371532752,-119.76421624772067
1673,36.7742927679136,-119.7646217326867,36.7741584533152,-119.76440726129971
1052,36.774321099899204,-119.7646049771096,36.7741867853008,-119.7643905057226
898,36.7742980145776,-119.76469880834142,36.774163699979205,-119.76448433695441
215,36.774306409240005,-119.76462843491755,36.77417209464161,-119.76441396353056
1542,36.77426233726241,-119.76502051542192,36.77412802266401,-119.76480604403491
2685,36.7742633865952,-119.76495851978662,36.7741290719968,-119.76474404839962
948,36.7735981096,-119.76261609010669,36.773463795001604,-119.7624016187197
1627,36.7734396603472,-119.76560696062076,36.7733053457488,-119.76539248923376
